ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29413083,ORNITHORYNQUE,RUE LECOURBE 36,LONS-LE-SAUNIER,RUE LECOURBE 36 / 39000 LONS-LE-SAUNIER / FR,"46,69094","5,551"
29413084,CAFE DE LA GARE,AV DE LA GARE 9,CHAMPAGNOLE,AV DE LA GARE 9 / 39300 CHAMPAGNOLE / FR,"45,67338","-1,00624"
29413085,HOTEL DU CERF,RUE AIN 1,PONT DU NAVOY,RUE AIN 1 / 39300 PONT DU NAVOY / FR,"46,72741","5,78283"
29413086,LE KLEBER,RUE KLEBER 12,NANTES,RUE KLEBER 12 / 44000 NANTES / FR,"47,21435","-1,56602"
29413087,LE 45 EME,RUE BELA BARTOK 21,MONTÉLIMAR,RUE BELA BARTOK 21 / 26200 MONTÉLIMAR / FR,"44,56628","4,75287"
29413088,LE 9,RUE MARCEL CERDAN 9,LEVALLOIS PERRET,RUE MARCEL CERDAN 9 / 92300 LEVALLOIS PERRET / FR,"48,89513","2,28687"
29413089,CHEZ MON ONCLE,RUE DURANTIN 3,PARIS,RUE DURANTIN 3 / 75018 PARIS / FR,"48,88525","2,33733"
29413091,PALAIS DES PRINCES,PL DENFERT 33,MONTBELIARD,PL DENFERT 33 / 25200 MONTBELIARD / FR,"47,51194","6,79971"
29413092,L'ESCALE,RUE RN 57 1,BREISTROFF LA GRANDE,RUE RN 57 1 / 57570 BREISTROFF LA GRANDE / FR,"49,50351","6,19412"
29413093,CAFETERIA TENNIS MONTALEIGNE,CHEM DE L ESTEREL 1,CAGNES SUR MER,CHEM DE L ESTEREL 1 / 06800 CAGNES SUR MER / FR,"43,67219","7,15244"
29413094,CAFE RESTAURANT DES VOYAGEURS,PL DE LA MAIRIE,TANNERON,PL DE LA MAIRIE / 83440 TANNERON / FR,"43,58948","6,87719"
29413095,LE SAINT-AUGUSTIN,RUE DE BRESSE 23,SAINT-AMOUR,RUE DE BRESSE 23 / 39160 SAINT-AMOUR / FR,"46,43582","5,34458"
29413096,LE MARCO POLO,PL DU MONUMENT 7,PIGNANS,PL DU MONUMENT 7 / 83790 PIGNANS / FR,"43,30115","6,23053"
29413097,AU BON VIEUX TEMPS,.,MEILLIERS,. / 03120 MEILLIERS / FR,"46,5136","3,10178"
29413098,LE CASTA,GRANDE RUE 69,POLIGNY,GRANDE RUE 69 / 39800 POLIGNY / FR,"48,23396","2,75608"
29413099,MESON CASTILLA,RUE DE SERPAIZE 25,VIENNE,RUE DE SERPAIZE 25 / 38200 VIENNE / FR,"45,52391","4,87854"
29413100,HOTEL DES DUNES,PL SAPIN 1327,STELLA PLAGE,PL SAPIN 1327 / 62780 STELLA PLAGE / FR,,
29413101,CAFE DU THEATRE,RUE DE VERDUN 1,CHAUMONT,RUE DE VERDUN 1 / 52000 CHAUMONT / FR,"46,99381","6,9296"
